# runner=stylo fixture=fixtures/local/shorthand.stylebench threads=6
# TIME_MS=1.519 TIME_MUT_MS=0.000 elements=14
0	div	id=testroot	disp=block	pos=static	w=auto	h=auto	minw=auto	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
1	span	id=hex	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=204,0,0,255
2	span	id=rgbv	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,255,0,255
3	span	id=cc	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(0, 0, 255)	bg=0,0,255,255
4	span	id=reset	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
5	span	id=after	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,255,255
6	span	id=same	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
7	span	id=same2	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=204,0,0,255
8	span	id=mix	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,255,0,255
9	span	id=rgbmix	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,255,255
10	span	id=onlynone	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
11	span	id=trans	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,0,0
12	span	id=impi	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=204,0,0,255
13	span	id=attr	disp=inline-block	pos=static	w=auto	h=10px	minw=10px	fs=10px	lh=10px	fw=400	vis=visible	color=rgb(17, 17, 17)	bg=0,0,255,255
